"","total","pacotes","custo"
"931",6890,1378,5512
"932",4390,878,3512
"933",3880,776,3104
"934",5040,1008,4032
"935",5665,1133,4532
"936",3870,774,3096
"937",5015,1003,4012
"938",3495,699,2796
"939",4635,927,3708
"940",5530,1106,4424
"941",3840,768,3072
"942",4920,984,3936
"943",4540,908,3632
"944",4860,972,3888
"945",5245,1049,4196
"946",4820,964,3856
"947",4950,990,3960
"948",3770,754,3016
"949",3240,648,2592
"950",4420,884,3536
"951",5980,1196,4784
"952",4960,992,3968
"953",4095,819,3276
"954",5145,1029,4116
"955",6370,1274,5096
"956",3535,707,2828
"957",5670,1134,4536
"958",5000,1000,4000
"959",4915,983,3932
"960",4310,862,3448
"961",4480,896,3584
"962",4825,965,3860
"963",5620,1124,4496
"964",3810,762,3048
"965",4415,883,3532
"966",3670,734,2936
"967",3715,743,2972
"968",5340,1068,4272
"969",4065,813,3252
"970",4005,801,3204
"971",4250,850,3400
"972",4220,844,3376
"973",4820,964,3856
"974",5400,1080,4320
"975",4385,877,3508
"976",5230,1046,4184
"977",4895,979,3916
"978",4795,959,3836
"979",6795,1359,5436
"980",5515,1103,4412
"981",4870,974,3896
"982",4280,856,3424
"983",6505,1301,5204
"984",4175,835,3340
"985",5315,1063,4252
"986",3980,796,3184
"987",5985,1197,4788
"988",6155,1231,4924
"989",4840,968,3872
"990",4225,845,3380
"991",4920,984,3936
"992",4570,914,3656
"993",6310,1262,5048
"994",4840,968,3872
"995",4620,924,3696
"996",5175,1035,4140
"997",5045,1009,4036
"998",3815,763,3052
"999",4990,998,3992
"1000",4955,991,3964
"1001",3960,792,3168
"1002",7895,1579,6316
"1003",6280,1256,5024
"1004",4285,857,3428
"1005",4805,961,3844
"1006",4645,929,3716
"1007",4335,867,3468
"1008",5860,1172,4688
"1009",3850,770,3080
"1010",4370,874,3496
"1011",5075,1015,4060
"1012",5385,1077,4308
"1013",4505,901,3604
"1014",5640,1128,4512
"1015",4665,933,3732
"1016",5625,1125,4500
"1017",8555,1711,6844
"1018",4510,902,3608
"1019",4845,969,3876
"1020",3605,721,2884
"1021",3235,647,2588
"1022",5065,1013,4052
"1023",3615,723,2892
"1024",4150,830,3320
"1025",3595,719,2876
"1026",3765,753,3012
"1027",5745,1149,4596
"1028",4840,968,3872
"1029",4055,811,3244
"1030",4910,982,3928
"1031",4135,827,3308
"1032",4185,837,3348
"1033",4735,947,3788
"1034",6155,1231,4924
"1035",5350,1070,4280
"1036",4745,949,3796
"1037",4585,917,3668
"1038",4440,888,3552
"1039",5375,1075,4300
"1040",5460,1092,4368
"1041",4165,833,3332
"1042",4705,941,3764
"1043",5400,1080,4320
"1044",4950,990,3960
"1045",4270,854,3416
"1046",5485,1097,4388
"1047",5035,1007,4028
"1048",3825,765,3060
"1049",6615,1323,5292
"1050",3955,791,3164
"1051",4160,832,3328
"1052",3610,722,2888
"1053",4050,810,3240
"1054",3895,779,3116
"1055",3655,731,2924
"1056",4440,888,3552
"1057",5340,1068,4272
"1058",6220,1244,4976
"1059",3880,776,3104
"1060",6335,1267,5068
"1061",4560,912,3648
"1062",4775,955,3820
"1063",3875,775,3100
"1064",5350,1070,4280
"1065",5290,1058,4232
"1066",4255,851,3404
"1067",5885,1177,4708
"1068",5380,1076,4304
"1069",5890,1178,4712
"1070",4495,899,3596
"1071",7265,1453,5812
"1072",6675,1335,5340
"1073",4475,895,3580
"1074",5110,1022,4088
"1075",4025,805,3220
"1076",3925,785,3140
"1077",4830,966,3864
"1078",5200,1040,4160
"1079",4435,887,3548
"1080",4525,905,3620
"1081",4025,805,3220
"1082",5835,1167,4668
"1083",4245,849,3396
"1084",3870,774,3096
"1085",5575,1115,4460
"1086",7270,1454,5816
"1087",4085,817,3268
"1088",5040,1008,4032
"1089",4265,853,3412
"1090",7115,1423,5692
"1091",4605,921,3684
"1092",4935,987,3948
"1093",5990,1198,4792
"1094",4830,966,3864
"1095",4540,908,3632
"1096",4620,924,3696
"1097",4895,979,3916
"1098",5350,1070,4280
"1099",3585,717,2868
"1100",4010,802,3208
"1101",4300,860,3440
"1102",4280,856,3424
"1103",5275,1055,4220
"1104",4320,864,3456
"1105",4725,945,3780
"1106",6495,1299,5196
"1107",4220,844,3376
"1108",4790,958,3832
"1109",4730,946,3784
"1110",4380,876,3504
"1111",6020,1204,4816
"1112",5070,1014,4056
"1113",5500,1100,4400
"1114",4565,913,3652
"1115",3710,742,2968
"1116",3755,751,3004
"1117",5875,1175,4700
"1118",6045,1209,4836
"1119",5220,1044,4176
"1120",4560,912,3648
"1121",4910,982,3928
"1122",5070,1014,4056
"1123",3920,784,3136
"1124",4360,872,3488
"1125",5595,1119,4476
"1126",4515,903,3612
"1127",4565,913,3652
"1128",5805,1161,4644
"1129",4720,944,3776
"1130",4980,996,3984
"1131",5015,1003,4012
"1132",5420,1084,4336
"1133",3810,762,3048
"1134",3945,789,3156
"1135",4430,886,3544
"1136",7855,1571,6284
"1137",4195,839,3356
"1138",4265,853,3412
"1139",3785,757,3028
"1140",4090,818,3272
"1141",3690,738,2952
"1142",4915,983,3932
"1143",3670,734,2936
"1144",3985,797,3188
"1145",5055,1011,4044
"1146",4355,871,3484
"1147",4390,878,3512
"1148",4190,838,3352
"1149",4965,993,3972
"1150",5455,1091,4364
"1151",4515,903,3612
"1152",4915,983,3932
"1153",4510,902,3608
"1154",4210,842,3368
"1155",3870,774,3096
"1156",3815,763,3052
"1157",4500,900,3600
"1158",5935,1187,4748
"1159",5425,1085,4340
"1160",4210,842,3368
"1161",6285,1257,5028
"1162",3805,761,3044
"1163",5535,1107,4428
"1164",4255,851,3404
"1165",6135,1227,4908
"1166",5350,1070,4280
"1167",7625,1525,6100
"1168",5680,1136,4544
"1169",4215,843,3372
"1170",6520,1304,5216
"1171",4635,927,3708
"1172",4520,904,3616
"1173",4390,878,3512
"1174",3500,700,2800
